gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
CLCN7,0.4878712,1.2921245998020278e-22,1.5280558924323298e-21,9.786077,ENSG00000103249
ANKRD28,0.34666434,1.2957311028697186e-22,1.5318234064185776e-21,9.785795,ENSG00000206560
WDR17,0.5313127,1.3379191882669527e-22,1.5811851179219826e-21,9.782554,ENSG00000150627
ZMAT4,1.9243408,1.3690714736014374e-22,1.6169520109236307e-21,9.780224,ENSG00000165061
DDX1,0.30835217,1.3864313145207493e-22,1.636924028026249e-21,9.778949,ENSG00000079785
SLC11A2,0.30270338,1.432334317797846e-22,1.6905723559045434e-21,9.775651,ENSG00000110911
MBD2,0.38328534,1.4884786383001643e-22,1.7562697400448988e-21,9.771757,ENSG00000134046
NCOA5,0.3920184,1.5197737780031442e-22,1.7926142793861512e-21,9.7696495,ENSG00000124160
PARN,0.30219474,1.520947742484351e-22,1.7934180440200838e-21,9.769571,ENSG00000140694
TTC19,0.27460063,1.5405043586047283e-22,1.8158900843481825e-21,9.768276,ENSG00000011295
NPRL3,0.2593842,1.6141144492772553e-22,1.901427865644886e-21,9.763545,ENSG00000103148
SLC38A6,0.54502124,1.64394943147298e-22,1.935947176545736e-21,9.761688,ENSG00000139974
ICE2,0.28245032,1.6581052552229706e-22,1.9519860508625544e-21,9.760819,ENSG00000128915
PCSK2,1.4077342,1.7237530430708027e-22,2.028613309770332e-21,9.756881,ENSG00000125851
LTO1,0.364439,1.7381588853199014e-22,2.0449060204286995e-21,9.756037,ENSG00000149716
ZNF155,0.68926114,1.8125485361859846e-22,2.1317350548967725e-21,9.751784,ENSG00000204920
PPCDC,0.4637322,1.8420430867834748e-22,2.165724019243135e-21,9.750145,ENSG00000138621
KCTD20,0.44300908,1.8853406526111466e-22,2.2159142621974522e-21,9.7477865,ENSG00000112078
DDX10,0.45021802,1.9327046061550614e-22,2.2708499554475023e-21,9.745267,ENSG00000178105
GIPC2,0.9370743,2.0112927678031368e-22,2.3616637298048313e-21,9.741218,ENSG00000137960
RPRD2,0.32325107,2.0290475262626895e-22,2.3817433438516135e-21,9.740325,ENSG00000163125
UBE2O,0.4763794,2.0423540659186922e-22,2.3965902754828044e-21,9.73966,ENSG00000175931
OXA1L-DT,0.3729597,2.0647538190517295e-22,2.422094589539677e-21,9.738552,ENSG00000258458
SLC44A2,0.655795,2.0973629544568514e-22,2.459554908137935e-21,9.736959,ENSG00000129353
NEK9,0.2559014,2.2025275646210457e-22,2.582048734159096e-21,9.731985,ENSG00000119638
THRAP3,0.2573012,2.223048972809658e-22,2.605267434758457e-21,9.731042,ENSG00000054118
SLC30A6,0.38807863,2.226212923760346e-22,2.6081359388662072e-21,9.730897,ENSG00000152683
PLEKHA8,0.73303896,2.5058016357109862e-22,2.9347458719687497e-21,9.718856,ENSG00000106086
NAPA,0.41238257,2.5386292307038866e-22,2.9722368986620554e-21,9.717531,ENSG00000105402
GIGYF1,0.3374887,2.7151534277506996e-22,3.177890280014737e-21,9.710682,ENSG00000146830
TRIM62,0.36663935,2.7500967260952826e-22,3.2171401729386636e-21,9.709378,ENSG00000116525
DGKH,1.2975352,2.750455168174794e-22,3.2171401729386636e-21,9.709365,ENSG00000102780
MTCH2,0.35236815,2.8482446618346817e-22,3.3304523001517156e-21,9.705803,ENSG00000109919
PARD3,1.5963801,2.862007299530191e-22,3.345470619277474e-21,9.705312,ENSG00000148498
SPTLC2,0.34917578,2.886511571414507e-22,3.3730314293435503e-21,9.704442,ENSG00000100596
HADHA,0.38553536,2.9115605509024394e-22,3.401210868766751e-21,9.703561,ENSG00000084754
MBD5,0.3212517,2.9662518201443444e-22,3.4639884950319395e-21,9.701663,ENSG00000204406
BNIP3,0.6054046,3.142311223496967e-22,3.668414115741313e-21,9.695779,ENSG00000176171
ATPAF2,1.0519382,3.271516211684735e-22,3.818027189098223e-21,9.691665,ENSG00000171953
VRK1,0.8347608,3.2950556417317753e-22,3.844266774326735e-21,9.690932,ENSG00000100749
MAGI3,1.2132703,3.4169688947275835e-22,3.9852232990013056e-21,9.687222,ENSG00000081026
UFD1,0.6347553,3.4459718968034534e-22,4.0177626867245384e-21,9.686358,ENSG00000070010
SRSF1,0.27597734,3.4588902253749e-22,4.031533639127748e-21,9.685976,ENSG00000136450
TUBA1B-AS1,0.77068704,3.5188125640326545e-22,4.100064098609824e-21,9.684221,ENSG00000258017
SLC20A2,0.343643,3.561095751251178e-22,4.1480044304081216e-21,9.683001,ENSG00000168575
LINC02937,1.5675439,3.6746622702885646e-22,4.278919174472248e-21,9.679791,ENSG00000230537
ENSG00000237188,0.5909749,3.7332672690013748e-22,4.345771349068992e-21,9.678173,ENSG00000237188
EEF2,0.28247488,3.737527096640962e-22,4.3493396178616395e-21,9.678057,ENSG00000167658
MAP3K5,1.6899004,3.7498482765932154e-22,4.362283560617002e-21,9.67772,ENSG00000197442
STPG1,0.8076365,3.826611615337939e-22,4.450162316757746e-21,9.675648,ENSG00000001460
HSPB1,3.1571128,4.097852447087297e-22,4.7625599522292585e-21,9.66864,ENSG00000106211
ANKRD39,0.99715436,4.1166881047268507e-22,4.782924290660948e-21,9.668171,ENSG00000213337
GIPR,0.9310353,4.318153282377937e-22,5.013794557332444e-21,9.66328,ENSG00000010310
PCGF3,0.4841553,4.347003379185012e-22,5.0448024710857594e-21,9.662598,ENSG00000185619
FMR1,0.46536076,4.347629944597142e-22,5.0448024710857594e-21,9.662582,ENSG00000102081
SPRYD7,0.5963616,4.553315471793435e-22,5.281787924783134e-21,9.657847,ENSG00000123178
RAD9A,0.67066276,4.886004051786442e-22,5.665897437377322e-21,9.650619,ENSG00000172613
CUL4B,0.62530494,5.000551866714923e-22,5.796882985381209e-21,9.648242,ENSG00000158290
SPARCL1,0.40453526,5.159676896538135e-22,5.979444785383405e-21,9.645029,ENSG00000152583
PABPN1,0.22672224,5.226013733892103e-22,6.054394275484545e-21,9.643718,ENSG00000100836
RBFOX2,0.32515705,5.275408939886115e-22,6.1096752646034745e-21,9.642753,ENSG00000100320
SAP30,0.7147447,5.512335281393623e-22,6.3820398176821815e-21,9.638243,ENSG00000164105
LMTK3,0.907611,5.545720551443778e-22,6.416611907186871e-21,9.637623,ENSG00000142235
