gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
LINC00707,0.49595246,0.21440683061226706,0.6575961519755616,1.2415386,ENSG00000238266
ENSG00000272163,1.2822533,0.21457178154698697,0.6580466360388183,1.241092,ENSG00000272163
HMGN5,0.15985674,0.2146058082284834,0.6580955608232726,1.2409998,ENSG00000198157
ENSG00000254571,1.7261417,0.21463937260144528,0.6581430598032695,1.240909,ENSG00000254571
MAP3K7CL,0.24552336,0.21469811936009942,0.658267760368806,1.24075,ENSG00000156265
KCTD17,-0.25140294,0.21476667189385534,0.6584225020627313,1.2405645,ENSG00000100379
CEP250-AS1,0.6111792,0.21478812694798544,0.6584328404133731,1.2405064,ENSG00000230155
ENSG00000242539,1.2108272,0.21481704707407656,0.6584660592694062,1.2404282,ENSG00000242539
CTSF,-0.32075143,0.21486089907028727,0.6585450384635774,1.2403096,ENSG00000174080
B3GNT9,0.63075197,0.2149439556331726,0.658744155585816,1.240085,ENSG00000237172
CCDC18-AS1,-0.0029465484,0.21518252185471187,0.6593643007467617,1.2394402,ENSG00000223745
GPC5-AS1,5.257641,0.21518252185471187,0.6593643007467617,1.2394402,ENSG00000235984
LINC00997,1.1056832,0.21532080009494003,0.6597324952084278,1.2390667,ENSG00000281332
RFESD,0.3141154,0.21552599954227603,0.6603056537932986,1.2385128,ENSG00000175449
ENSG00000268912,1.1225938,0.21558211501520663,0.6603610363212036,1.2383614,ENSG00000268912
PCNA,-0.13231531,0.21559801631239373,0.6603610363212036,1.2383184,ENSG00000132646
FSIP1,0.43722588,0.21559848401039405,0.6603610363212036,1.2383171,ENSG00000150667
ENSG00000251600,-0.20691575,0.21577485823239495,0.6608456672519106,1.2378415,ENSG00000251600
UBAP1L,-0.2265191,0.2158778301822195,0.6610498320237976,1.2375638,ENSG00000246922
CDKN2AIPNL,-0.1774129,0.21594197150077743,0.6611608474930618,1.237391,ENSG00000237190
SLA2,0.22772206,0.21595039984716535,0.6611608474930618,1.2373682,ENSG00000101082
TAGLN2,1.8823861,0.21621039012347854,0.6619011875883724,1.2366679,ENSG00000158710
ENSG00000254205,0.1699031,0.21644856066304186,0.6625746104130038,1.2360269,ENSG00000254205
KIAA2012,0.77815163,0.2165320587797892,0.662774489264432,1.2358023,ENSG00000182329
NOP2,0.025994495,0.21661464150613996,0.6629715328672412,1.2355802,ENSG00000111641
CYB561,0.69486415,0.21666767531708953,0.6630781134346835,1.2354376,ENSG00000008283
ENSG00000260126,0.43516248,0.2168254239692392,0.6635051128303167,1.2350136,ENSG00000260126
GRPEL2,0.23071975,0.21694613867450419,0.6638187228080711,1.2346894,ENSG00000164284
ZNF48,0.051782843,0.21709134215187942,0.6642072053133546,1.2342994,ENSG00000180035
ZBTB48,-0.20043615,0.21711014382809468,0.66420891926303,1.234249,ENSG00000204859
NPIPB6,0.30414513,0.2171731379781492,0.6642900117658239,1.2340798,ENSG00000198156
MRTO4,-0.025367446,0.21723238327573957,0.6644154170379025,1.2339209,ENSG00000053372
NLRC3,0.8673884,0.21755279121458326,0.6653395123219726,1.2330616,ENSG00000167984
ENSG00000248774,1.0155994,0.217707235175976,0.6657403463835662,1.2326477,ENSG00000248774
ENSG00000286883,-0.052932967,0.21772042306754658,0.6657403463835662,1.2326124,ENSG00000286883
WDR5B,-0.11438531,0.2180262605114256,0.6666195480512241,1.2317934,ENSG00000196981
DNAAF9,0.09316326,0.21805266464773698,0.6666443010204365,1.2317227,ENSG00000088854
FALEC,-0.024849499,0.2180918035772983,0.6667079801743419,1.231618,ENSG00000228126
EFCAB5,-0.15329325,0.21813189084645468,0.6667745474732293,1.2315108,ENSG00000176927
ENSG00000223727,-0.04381458,0.21832815903907876,0.6673184694813176,1.2309859,ENSG00000223727
DYRK3,1.7430261,0.21836308542110894,0.6673692014733439,1.2308924,ENSG00000143479
ENSG00000254587,1.1572255,0.21856753242972704,0.6678819226947987,1.2303461,ENSG00000254587
CP,0.5841638,0.2186270509153937,0.6680077349946559,1.230187,ENSG00000047457
TENM3-AS1,-0.048347525,0.21867618605513406,0.6681018028729268,1.2300558,ENSG00000177822
NBPF26,0.7448471,0.21871020733695945,0.668149682821828,1.229965,ENSG00000273136
CDS1,0.26474166,0.21907002586912694,0.6691366313184003,1.2290047,ENSG00000163624
PDCD2L,0.037137583,0.2191400530650125,0.669285937702404,1.2288179,ENSG00000126249
PHLDA1,0.5300544,0.21919684367113101,0.6693254242239091,1.2286665,ENSG00000139289
LINC01134,1.4679279,0.21920536317340755,0.6693254242239091,1.2286439,ENSG00000236423
